record_id,citation,abstract_pillar,study_type,sample_desc,outcome_indicator,tech_indicator,finding_tech,finding_affluence,displacement,supports_decoupling,section_relevance,include_final,source,notes
AR01,"De Bruyn (2002) Handbook of Industrial Ecology, ch. 17",tech_material,book chapter (empirical trends),developed economies (trend studies),DMC / material intensity,"R&D, patents (indirect)",no_independent_effect,dominant,not_tested,no,4.2,yes,citation_search,"dematerialisation followed by rematerialisation; sample verified against chapter abstract (developed economies, spontaneous dematerialisation trends)"
AR02,"York, Rosa & Dietz (2003) Ecological Economics 46",tech_material,cross-national STIRPAT,146 nations (CO2); 138 (energy footprint),EF,STIRPAT technology term,no_independent_effect,dominant,not_tested,no,4.1,yes,citation_search,"verified against full text: 'Our samples include all nations for which data are available, 146 for the CO2 emissions analysis and 138 for the energy footprint analysis.'"
AR03,York (2012) Nature Climate Change 2,tech_material,cross-national panel,"most nations of the world, 1960-2009",energy mix (fossil vs alternative),alternative energy capacity,minimal_displacement,dominant,not_tested,no,4.1,yes,citation_search,"verified against abstract: 'most nations of the world over the past fifty years'; <1/4 unit displacement (total energy), <1/10 (electricity); prior '14' was an OCR/transcription error"
AR04,Wiedmann et al. (2015) PNAS 112,tech_material,MRIO accounting + regression,"186 countries, 1990-2008",MF vs DMC,R&D intensity,explained_by_income,dominant,yes,no_absolute_consumption_based,4.1,yes,citation_search,dual pillar: displacement (5)
AR05,Ward et al. (2016) PLoS ONE 11,tech_material,model-based projection (IPAT),model calibrated to Australia 1980-2050; projections to 2100/2150,GDP vs materials/energy,efficiency scenarios,insufficient_for_absolute,dominant,not_tested,no,4.1,yes,citation_search,corrected from 'N=180' (wrong); single-pillar study; paraphrase verified against abstract: 'growth in GDP ultimately cannot be decoupled from growth in material and energy use'
AR06,"Parrique et al. (2019) Decoupling Debunked, EEB",tech_material,narrative review (institutional report),institutional report synthesis (no stated study count),multiple pressures,various,insufficient_for_absolute,dominant,yes,no,4.1,yes,citation_search,'179 academic studies' in the submitted manuscript was an error - the 179 belongs to Vaden et al. 2020
AR07,"Lange, Pohl & Santarius (2020) Ecological Economics 176",tech_material,literature review,digitalisation-energy literature,energy demand,ICT / digitalisation,mixed_rebound_offsets,implied,not_tested,mixed,4.2,yes,citation_search,
AR08,Le Quere et al. (2019) Nature Climate Change 9,tech_material,panel decomposition,"18 developed economies, 2005-2015","territorial CO2 (consumption-based weaker, same direction)",energy transition / policy indicators,supports,partially,reduced but persistent,yes_territorial_co2,4.counter,yes,citation_search,counter-evidence row; 18 economies in title; period 2005-2015
AR09,Vaden et al. (2020) Environmental Science & Policy 112,tech_material,categorisation review,"179 articles, 1990-2019",materials / energy / CO2,various,mixed,not_assessed,noted,mixed_relative_common_absolute_rare,4.counter,yes,citation_search,counter-evidence row; 179 articles confirmed against source
AR10,Schandl et al. (2016) Journal of Cleaner Production 132,tech_material,global scenario modelling,"global, 13 world regions, to 2050",materials / energy / CO2,efficiency + carbon-price scenarios,conditional,not_assessed,not_tested,conditional_model_based,4.counter,yes,citation_search,"verified against abstract: three scenarios (reference, medium, high efficiency; carbon price $50-236/tCO2); materials 95 vs 180 Gt under high efficiency; relative decoupling conditional on policy"
