rank,code,year,journal,cites,doi,title,rules,note,openalex_id,has_abstract
152,EX1,2023,Financial Innovation,112,10.1186/s40854-022-00396-9,Exploring the moderating role of financial development in environmental Kuznets curve for South Africa: fresh evidence from the novel dynamic ARDL simulations approach,R1 two+ pillars,"South Africa, single-country EKC/ARDL",https://openalex.org/W4313523860,True
154,OFF,2018,Sociology of Health & Illness,69,10.1111/1467-9566.12811,"Digitising psychiatry? Sociotechnical expectations, performative nominalism and biomedical virtue in (digital) psychiatric praxis",R1 two+ pillars,"digital psychiatry; STS, no biophysical outcome",https://openalex.org/W2889358587,True
155,PASS,2022,Annual Review of Environment and Resources,90,10.1146/annurev-environ-120920-100056,Digitalization and the Anthropocene,R1 two+ pillars; R2 material term + cross-national cue,Annual Review: digitalisation and environmental impacts; global review; digitalisation as technology; resource use/impacts. Analogous to Lange et al. 2020,https://openalex.org/W4294549672,True
156,THEORY,2017,Nature and Culture,20,10.3167/nc.2017.120304,Ideology Critique for the Environmental Social Sciences: What Reproduces the Treadmill of Production?,R1 two+ pillars,"ideology critique, treadmill of production",https://openalex.org/W2763307013,True
157,OFF,2014,Technology Analysis and Strategic Management,43,10.1080/09537325.2014.974531,Designing consumer engagement with the smart grids of the future: bringing active demand technology to everyday life,R1 two+ pillars,"smart-grid design, sociology of expectations",https://openalex.org/W2046455035,True
158,EX1,2021,Resources Conservation and Recycling,26,10.1016/j.resconrec.2021.105758,Material footprints of Chinese megacities,R1 two+ pillars; R2 material term + cross-national cue,four Chinese megacities,https://openalex.org/W3181465716,True
159,EX1,2020,International Journal of Environmental Research and Public Health,23,10.3390/ijerph17207510,"Dynamic Changes, Spatiotemporal Differences and Factors Influencing the Urban Eco-Efficiency in the Lower Reaches of the Yellow River",R1 two+ pillars,"Yellow River cities, China",https://openalex.org/W3093182151,True
160,OFF,2011,Science Technology & Human Values,42,10.1177/0162243911420581,Exploring the Role of Dedicated Online Biotechnology News Providers in the Innovation Economy,R1 two+ pillars,biotech news providers,https://openalex.org/W2157725072,True
161,PASS-borderline,2005,Sociological Perspectives,95,10.1525/sop.2005.48.3.383,Unpacking International Power and the Ecological Footprints of Nations: A Quantitative Cross-National Study,R2 material term + cross-national cue,Jorgenson 2005: cross-national EF regression; capital intensity and military technological power as drivers; technology indicator only in the world-systems sense. Author to judge criterion 2,https://openalex.org/W2133022495,True
162,EX1,2023,Energies,97,10.3390/en16155845,"The Driving Factors of Italy’s CO2 Emissions Based on the STIRPAT Model: ARDL, FMOLS, DOLS, and CCR Approaches",R1 two+ pillars,Italy STIRPAT,https://openalex.org/W4385665629,True
166,OFF,2022,Technological Forecasting and Social Change,76,10.1016/j.techfore.2022.121844,The role of emotions in the consumer meaning-making of interactions with social robots,R1 two+ pillars,social robots,https://openalex.org/W4285082249,True
167,PASS,2009,Journal of World-Systems Research,64,10.5195/jwsr.2009.319,"A Tale of Contrasting Trends: Three Measures of the Ecological Footprint in China, India, Japan, and the United States, 1961-2003",R2 material term + cross-national cue,"EF total/per capita/intensity in China, India, Japan, US 1961-2003: EF intensity fell, total EF rose (Jevons). Four-country comparison; decoupling assessed directly; EF outcome",https://openalex.org/W2271129245,True
170,OFF,2014,Science Technology & Human Values,116,10.1177/0162243914542349,The Pharmaceutical Commons,R1 two+ pillars,pharmaceutical commons,https://openalex.org/W2101589578,True
171,DISP,2018,Environmental Sociology,52,10.1080/23251042.2018.1436878,"Ecologically unequal exchange and the carbon intensity of well-being, 1990–2011",R4 displacement term + cross-national cue,"EUE and carbon intensity of well-being, 81 countries 1990-2011; trade integration, no technology indicator; displacement-pillar relevance only",https://openalex.org/W2792425554,True
172,OFF,2014,The Journal of Environmental Education,114,10.1080/00958964.2014.941783,Future Scenarios and Environmental Education,R1 two+ pillars,environmental education scenarios,https://openalex.org/W2023767506,True
173,EX3,2023,Environmental Technology & Innovation,232,10.1016/j.eti.2023.103509,Revolutionizing the circular economy through new technologies: A new era of sustainable progress,R1 two+ pillars; R2 material term + cross-national cue,bibliometric review of technologies and circular economy; no biophysical outcome,https://openalex.org/W4390414619,True
174,THEORY,2012,American Journal of Sociology,93,10.1086/664617,Weber and the Environment: Classical Foundations for a Postexemptionalist Sociology,R2 material term + cross-national cue,Weber and the environment,https://openalex.org/W2012086721,True
175,PASS,2022,Frontiers in Environmental Science,107,10.3389/fenvs.2022.868704,"The Impact of Green Investment, Technological Innovation, and Globalization on CO2 Emissions: Evidence From MINT Countries",R1 two+ pillars,"MINT countries 2000-2020: green investment, technological innovation, globalisation -> CO2 (FMOLS/DOLS). Meets criteria as written; econometric innovation->CO2 panel genre",https://openalex.org/W4221012522,True
176,PASS,2022,Energies,24,10.3390/en15155456,"The Environmental Effects of Urbanization, Education, and Green Innovation in the Union for Mediterranean Countries: Evidence from Quantile Regression Model",R1 two+ pillars,"Union for the Mediterranean countries 2001-2016: green innovation, urbanisation, education -> environmental degradation (panel quantile). Same genre; outcome indicator to confirm at full text",https://openalex.org/W4288067255,True
180,THEORY,2020,Journal of World-Systems Research,31,10.5195/jwsr.2020.989,The World-System and the Earth System,R1 two+ pillars; R4 displacement term + cross-national cue,Hornborg: world-system and earth system,https://openalex.org/W2980724302,True
181,OFF,2018,New Genetics and Society,50,10.1080/14636778.2018.1469975,Governing anticipatory technology practices. Forensic DNA phenotyping and the forensic genetics community in Europe,R1 two+ pillars,forensic DNA phenotyping,https://openalex.org/W2785949837,True
183,OFF,2015,Law & Social Inquiry,104,10.1111/lsi.12141,"Constructing the Rights of Nature: Constitutional Reform, Mobilization, and Environmental Protection in Ecuador",R1 two+ pillars; R4 displacement term + cross-national cue,"rights of nature, Ecuador",https://openalex.org/W1914034541,True
185,EX1,2020,Journal of Cleaner Production,129,10.1016/j.jclepro.2020.125443,Resource efficiency in industrialized housing construction – A systematic review of current performance and future opportunities,R1 two+ pillars; R2 material term + cross-national cue,sector-specific systematic review (industrialised housing construction); no national biophysical outcome,https://openalex.org/W3111205846,True
186,PASS,2023,Frontiers in Environmental Science,97,10.3389/fenvs.2022.1076859,"The impact of renewable energy transition, green growth, green trade and green innovation on environmental quality: Evidence from top 10 green future countries",R1 two+ pillars,"top-10 'green future' countries: renewable transition, green growth, green innovation -> environmental quality (D-H panel). Genre; abstract missing in record; outcome to confirm",https://openalex.org/W4313827617,True
187,OFF,2021,NanoEthics,47,10.1007/s11569-021-00408-5,Responsibility through Anticipation? The ‘Future Talk’ and the Quest for Plausibility in the Governance of Emerging Technologies,R1 two+ pillars,anticipatory governance theory,https://openalex.org/W4205853532,True
191,THEORY,2012,Capitalism Nature Socialism,21,10.1080/10455752.2012.674147,The Insuperable Imperative: A Critique of the Ecologically Modernizing State,R1 two+ pillars,critique of ecologically modernising state (weak/strong EM),https://openalex.org/W2085946777,True
192,DISP,2009,International Journal of Comparative Sociology,79,10.1177/0020715209105140,The Transnational Organization of Production and Uneven Environmental Degradation and Change in the World Economy,R4 displacement term + cross-national cue,"review of transnational organisation of production and EUE (2009); theoretical/empirical summary, no new data",https://openalex.org/W2048293151,True
194,OFF,2022,European Journal of Futures Research,45,10.1186/s40309-022-00190-x,Young people’s technological images of the future: implications for science and technology education,R1 two+ pillars,young people's images of technological futures,https://openalex.org/W4226293336,True
195,PASS,2023,Ecological Economics,27,10.1016/j.ecolecon.2023.107937,The limits to degrowth: Economic and climatic consequences of pessimist assumptions on decoupling,R1 two+ pillars; R2 material term + cross-national cue,"Ecological Economics 2023: assesses consequences of degrowth scholars' decoupling assumptions (global, carbon vs GDP, scenario arithmetic). Decoupling assessed directly, model-based; argues against degrowth position - counter-position candidate",https://openalex.org/W4385009166,True
